Time (s),Rotational Speed (rpm/sec),Torque (in-lb)
0,42.0659340659341,0.07
1,0,0.07
2,55.1208791208791,0.07
3,66.2417582417582,0.07
4,67.2087912087912,0.07
5,118.461538461538,0.07
6,103.956043956044,0.08
7,78.3296703296703,0.07
8,29.978021978022,0.08
9,98.6373626373626,0.08
10,71.5604395604396,0.08
11,58.021978021978,0.08
12,15.956043956044,0.07
13,113.142857142857,0.08
14,69.1428571428571,0
15,44,0
16,82.1978021978022,0.07
17,34.3296703296703,0.07
18,140.21978021978,0.07
19,54.6373626373626,0.07
20,62.3736263736264,0.07
21,111.692307692308,0.07
22,37.7142857142857,0.07
23,10.1538461538462,0.08
24,18.8571428571429,0.07
25,51.2527472527472,0.06
26,72.043956043956,0.03
27,83.6483516483516,0.08
28,18.8571428571429,0.07
29,60.9230769230769,0.07
30,63.3406593406593,0.07
31,62.8571428571429,0.06
32,115.076923076923,0.07
33,22.7252747252747,0.07
34,105.89010989011,0.07
35,115.076923076923,0.07
36,80.2637362637363,0.06
37,64.3076923076923,0.06
38,44.967032967033,0.07
39,79.2967032967033,0.06
40,51.7362637362637,0.07
41,117.978021978022,0.06
42,36.2637362637363,0.07
43,75.4285714285714,0.07
44,91.3846153846154,0.07
45,32.3956043956044,0.06
46,75.4285714285714,0
47,1.93406593406593,0.07
48,56.0879120879121,0.07
49,113.626373626374,0.07
50,126.197802197802,0.06
51,45.9340659340659,0.06
52,16.4395604395604,0.08
53,79.7802197802198,0.07
54,8.7032967032967,0.07
55,84.6153846153846,0.07
56,64.3076923076923,0.07
57,58.989010989011,0.07
58,122.813186813187,0.07
59,78.8131868131868,0.07
60,104.43956043956,0.07
61,40.6153846153846,0.06
62,123.296703296703,0.07
63,31.4285714285714,0.17
64,952.527472527472,0.22
65,262.549450549451,0.38
66,1481.49450549451,0.32
67,2220.30769230769,0.38
68,3149.14285714286,0.44
69,4190.63736263736,0.43
70,5060,0.38
71,5668.26373626374,0.2
72,5949.18681318681,0.04
73,5790.59340659341,0.07
74,5475.34065934066,0.16
75,5089.97802197802,0.13
76,4656.26373626374,0.24
77,4473.4945054945,0.18
78,4463.82417582418,0.22
79,4620,0.28
80,4843.38461538462,0.24
81,5080.30769230769,0.25
82,5209.40659340659,0.25
83,5229.23076923077,0.25
84,5225.84615384615,0.23
85,5255.82417582418,0.21
86,5279.03296703297,0.19
87,5231.64835164835,0.15
88,5060.96703296703,0.19
89,4955.56043956044,0.22
90,4912.52747252747,0.23
91,4940.08791208791,0.26
92,4869.49450549451,0.25
93,4838.54945054945,0.18
94,4871.42857142857,0.22
95,4840.96703296703,0.26
96,4916.87912087912,0.21
97,4971.03296703297,0.2
98,4945.89010989011,0.2
99,4953.14285714286,0.13
100,4872.87912087912,0.17
101,4902.37362637363,0.2
102,4915.42857142857,0.17
103,4940.57142857143,0.22
104,4938.15384615385,0.22
105,4931.86813186813,0.21
106,4907.69230769231,0.17
107,4907.69230769231,0.25
108,4931.86813186813,0.22
109,4944.92307692308,0.2
110,4922.68131868132,0.23
111,4926.54945054945,0.15
112,4928.96703296703,0.18
113,4961.36263736264,0.16
114,4932.83516483517,0.21
115,4958.46153846154,0.19
116,4943.47252747253,0.19
117,4956.52747252747,0.25
118,5104.96703296703,0.18
